"id","name","rank"
7457148,"Mystery MusiKAL",1
7467465,"Norwegian Star Hat",2
7467169,"Frankie Sweater",3
7467428,"Blueberry Vineyard Scarf",4
804479,"Flowsaic",5
7467341,"Affric",6
7467177,"Shrew",7
7467080,"Happy Camp Sweater",8
1115633,"Cannelloni",9
1255578,"Step by Step Sweater",10
7288746,"BriocheCrown Hat",11
7465939,"The True Crew Sock Set",12
754478,"Ranunculus",13
7467325,"Fayna Sweater",14
7391079,"Nore hat",15
1351035,"Acorn Fairies",16
7455631,"Rosie Sweater",17
1258283,"Sophie Scarf",18
7392714,"Sophie Hood",19
1156223,"Elliott",20
